"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.138268903E2,6.504648558E1,2.543428761E1,8.278348039E0,1.470804540E0,7.355652787E1,3.878860548E0,4.822145576E0
2.148268806E2,6.504648651E1,2.543431942E1,8.134382159E0,1.456281521E0,8.037502075E1,3.856608729E0,4.796924059E0
2.158268713E2,6.504648732E1,2.543434899E1,8.000966873E0,1.504029244E0,8.326439007E1,3.911186963E0,4.784202935E0
2.168268619E2,6.504649037E1,2.543437949E1,8.107855012E0,1.529257348E0,8.448384378E1,3.934313860E0,4.929842175E0
2.178268520E2,6.504649693E1,2.543441071E1,8.366884340E0,1.515744471E0,8.127817350E1,3.927187872E0,5.018605700E0
2.188268425E2,6.504649825E1,2.543444161E1,8.039030992E0,1.514453023E0,8.099446740E1,3.933564240E0,5.020980312E0
2.198268329E2,6.504649764E1,2.543447441E1,8.107258353E0,1.517544774E0,8.543322768E1,3.920599094E0,4.825419825E0
2.208268235E2,6.504650299E1,2.543450245E1,8.007820002E0,1.504289203E0,8.073009953E1,3.989408473E0,5.014003472E0
2.218268135E2,6.504650373E1,2.543453394E1,8.314826192E0,1.510231268E0,8.400267247E1,3.957276110E0,4.812244486E0
2.228268040E2,6.504650226E1,2.543456646E1,8.759872942E0,1.512792671E0,9.136793032E1,3.929584047E0,4.641716675E0
2.238267950E2,6.504649913E1,2.543459563E1,8.477487998E0,1.499390034E0,9.401252730E1,3.977832415E0,4.679157326E0
2.248267856E2,6.504649948E1,2.543462614E1,8.534836359E0,1.483396418E0,9.176160213E1,3.941626507E0,4.824843403E0
2.258267760E2,6.504650870E1,2.543465795E1,8.784983111E0,1.507041405E0,7.772968611E1,3.948439327E0,4.850713900E0
2.268267658E2,6.504651402E1,2.543469117E1,9.228071158E0,1.519265681E0,7.803729650E1,3.961163501E0,4.851949930E0
2.278267572E2,6.504651538E1,2.543472430E1,9.456723754E0,1.510312853E0,8.158197716E1,4.005435614E0,4.907830380E0
2.288267477E2,6.504650839E1,2.543475289E1,8.489768711E0,1.313539893E0,9.789302356E1,3.955332328E0,4.853878166E0
2.298267381E2,6.504650727E1,2.543478598E1,8.466203385E0,1.473354308E0,9.653451013E1,3.896210404E0,4.672771174E0
2.308267283E2,6.504650587E1,2.543481358E1,8.199024014E0,1.429637782E0,9.160877262E1,3.869178796E0,4.713501410E0
2.318267183E2,6.504650446E1,2.543484292E1,8.649676109E0,1.343440720E0,9.093735603E1,3.876115272E0,4.464782179E0
2.328267093E2,6.504650782E1,2.543486512E1,8.179848243E0,1.196678747E0,8.002896925E1,3.871649313E0,4.473427525E0
2.338266993E2,6.504651025E1,2.543489260E1,8.539712717E0,1.301760123E0,7.744042704E1,3.848897587E0,4.420416669E0
2.348266908E2,6.504651425E1,2.543491697E1,7.923978401E0,1.322066863E0,7.289081940E1,3.834149087E0,4.351107839E0
2.358266802E2,6.504651606E1,2.543494471E1,8.027319487E0,1.263156793E0,7.265663116E1,3.825917025E0,4.372301869E0
2.368266710E2,6.504651744E1,2.543497262E1,7.723179750E0,1.278775912E0,7.541196860E1,3.796705204E0,4.427958907E0
2.378266616E2,6.504652795E1,2.543499748E1,7.519648753E0,1.430385852E0,6.107223717E1,3.774850482E0,4.427179121E0
2.388266529E2,6.504653585E1,2.543501475E1,7.451316920E0,1.507526317E0,4.778004899E1,3.740955289E0,4.613541665E0
2.398266430E2,6.504654527E1,2.543502730E1,7.624190453E0,1.498965863E0,3.657285921E1,3.714230614E0,4.669500290E0
2.408266335E2,6.504655715E1,2.543503264E1,7.787708361E0,1.491409298E0,2.453508592E1,3.728297512E0,4.899221284E0
2.418266236E2,6.504656636E1,2.543503325E1,7.893294576E0,1.460464082E0,1.454328106E1,3.807989508E0,4.663098477E0
2.428266147E2,6.504657689E1,2.543503135E1,7.366425870E0,1.422127036E0,7.442806409E0,3.870386012E0,4.503537761E0
2.438266051E2,6.504658866E1,2.543502688E1,7.508162890E0,1.514724615E0,2.342313539E0,3.887519902E0,4.650126789E0
2.448265951E2,6.504659946E1,2.543501893E1,7.623484859E0,1.511222475E0,3.581982793E2,3.956623226E0,5.053703413E0
2.458265858E2,6.504661323E1,2.543501302E1,8.478227838E0,1.508999319E0,3.578830398E2,4.047996129E0,5.276469308E0
2.468265768E2,6.504662593E1,2.543500994E1,8.846736981E0,1.495200070E0,3.559842324E2,4.144367231E0,5.364043801E0
2.478265669E2,6.504663959E1,2.543500703E1,9.278765839E0,1.480871464E0,3.567829559E2,4.157794834E0,5.378728075E0
2.488265576E2,6.504665479E1,2.543499842E1,9.747191272E0,1.478333874E0,3.555563325E2,4.262570646E0,5.337633383E0
2.498265479E2,6.504666882E1,2.543499531E1,1.010008014E1,1.451251406E0,3.556419948E2,4.418634517E0,5.384416790E0
2.508265388E2,6.504668243E1,2.543499190E1,1.076341087E1,1.436998129E0,3.543793629E2,4.449281114E0,5.048958823E0
2.518265294E2,6.504670172E1,2.543498338E1,1.117252172E1,1.685727781E0,3.530444272E2,4.519367287E0,4.970410606E0
2.528265195E2,6.504671487E1,2.543497854E1,1.115271445E1,1.513329735E0,3.539094999E2,4.477488898E0,5.459918844E0
2.538265101E2,6.504672846E1,2.543497179E1,1.192919689E1,1.390682047E0,3.510394685E2,4.490091074E0,5.550899586E0
2.548265007E2,6.504674391E1,2.543496183E1,1.236397820E1,1.394556574E0,3.530000050E2,4.605301964E0,5.465140568E0
2.558264914E2,6.504675819E1,2.543495820E1,1.273061474E1,1.421883686E0,3.562073518E2,4.564207229E0,4.839817533E0
2.568264811E2,6.504676243E1,2.543496848E1,1.307128647E1,1.087497552E0,3.596551183E2,4.573359605E0,4.575674454E0
2.578264725E2,6.504676803E1,2.543497797E1,1.320996775E1,1.019288695E0,6.024725540E0,4.638096932E0,4.830463477E0
2.588264620E2,6.504678555E1,2.543497449E1,1.352175713E1,1.331313587E0,2.435645521E0,4.625688061E0,4.888436246E0
2.598275793E2,6.504679281E1,2.543498027E1,1.325955535E1,1.163766843E0,6.738638903E0,4.593548868E0,4.809134736E0
2.608275884E2,6.504680628E1,2.543499181E1,1.348767027E1,1.339118658E0,7.777120494E0,4.555964581E0,4.741295068E0
2.618275793E2,6.504682015E1,2.543498423E1,1.321259774E1,1.332635401E0,2.416667046E0,4.542584532E0,4.874458542E0
2.628275794E2,6.504683337E1,2.543498528E1,1.333716103E1,1.485046804E0,2.162520320E0,4.538150594E0,5.049037521E0
2.638275843E2,6.504684620E1,2.543500166E1,1.324865992E1,1.595477270E0,4.670696798E0,4.605904581E0,5.259051132E0
2.648275734E2,6.504685830E1,2.543501144E1,1.325177845E1,1.508537475E0,5.033594760E-1,4.549653024E0,5.515299265E0
2.658275799E2,6.504686892E1,2.543501954E1,1.320708419E1,1.396303555E0,1.667207197E0,4.643161393E0,5.536903527E0
2.668275806E2,6.504688362E1,2.543501724E1,1.325197972E1,1.377831043E0,3.557760231E2,4.609591058E0,5.311083102E0
2.678275716E2,6.504689383E1,2.543498230E1,1.284254918E1,1.407448924E0,3.480258703E2,4.662661029E0,5.488207242E0
2.688275802E2,6.504690598E1,2.543495554E1,1.238299312E1,1.464506850E0,3.430447266E2,4.646543900E0,5.718865147E0
2.698275816E2,6.504690848E1,2.543492394E1,1.193837859E1,1.168748410E0,3.258720322E2,4.557531663E0,5.234833718E0
2.708275692E2,6.504690574E1,2.543491521E1,1.096057777E1,5.680825003E-1,3.332617674E2,4.622950263E0,5.308256081E0
2.718275746E2,6.504692001E1,2.543490996E1,1.078602779E1,8.114028243E-1,3.477971447E2,4.618688483E0,5.101540287E0
2.728275779E2,6.504693883E1,2.543490741E1,1.101610985E1,1.221177587E0,3.498748916E2,4.568658591E0,4.679637445E0
2.738275667E2,6.504695085E1,2.543491794E1,1.164241215E1,1.166296581E0,1.912064900E0,4.621876319E0,5.230248341E0
2.748275557E2,6.504696391E1,2.543490759E1,1.143945159E1,1.206201262E0,3.581625940E2,4.661061587E0,4.849291174E0
2.758275453E2,6.504697758E1,2.543489516E1,1.202548674E1,1.228169415E0,3.487692842E2,4.642618837E0,5.300512680E0
2.768275341E2,6.504699290E1,2.543487570E1,1.206538547E1,1.325972292E0,3.401084450E2,4.747549761E0,4.712102575E0
2.778275245E2,6.504699547E1,2.543487523E1,1.257986295E1,9.533341450E-1,3.391408597E2,4.873957038E0,3.918740788E0
2.788275138E2,6.504702167E1,2.543484358E1,1.268140693E1,1.587076700E0,3.373162114E2,4.960601298E0,3.665979983E0
2.798275031E2,6.504703348E1,2.543483880E1,1.321092633E1,1.404882885E0,3.458957425E2,4.948028364E0,5.062126752E0
2.808274935E2,6.504703490E1,2.543482165E1,1.234219997E1,7.583529895E-1,3.463804631E2,4.909939252E0,5.148760440E0
2.818274823E2,6.504703852E1,2.543482107E1,1.211532621E1,6.933614281E-1,3.572384526E2,4.906378132E0,5.696871817E0
