"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.729470000E-1,3.577182987E0,-5.692252743E-1,1.011889905E0
7.828800000E-1,3.730769169E0,-6.901801926E-1,5.739077246E-1
7.928120000E-1,2.879339141E0,-8.618257928E-1,4.115071571E-1
8.027450000E-1,1.573160919E0,-9.974244779E-1,7.165926504E-1
8.126780000E-1,4.916683175E-1,-1.031392708E0,1.151865231E0
8.226110000E-1,-5.607280640E-1,-1.333770356E0,1.670403916E0
8.325430000E-1,-1.128325802E0,-1.647043120E0,1.756419382E0
8.424760000E-1,-9.637517517E-1,-1.948450715E0,1.316285427E0
8.524090000E-1,-5.883104400E-1,-2.334720120E0,6.972278416E-1
8.623420000E-1,-3.098849245E-1,-2.806893309E0,6.803524118E-2
8.722740000E-1,-2.252365742E-3,-3.156507688E0,-4.094465983E-1
8.822070000E-1,2.468706143E-1,-3.493337131E0,-5.777721494E-1
8.921400000E-1,3.600581644E-1,-3.853470651E0,-6.570955501E-1
9.020730000E-1,2.904644940E-1,-4.133905452E0,-7.085720978E-1
9.120050000E-1,1.221472660E-1,-4.329678419E0,-8.966330981E-1
9.219380000E-1,-1.451371567E-1,-4.485628923E0,-9.206932942E-1
9.318710000E-1,-4.741574781E-1,-4.448221360E0,-9.210850576E-1
9.418040000E-1,-6.788672190E-1,-4.244337721E0,-1.162234683E0
9.517360000E-1,-3.776681872E-1,-3.898813469E0,-1.279304127E0
9.616690000E-1,2.756792063E-1,-3.478023273E0,-9.487798098E-1
9.716020000E-1,9.386715089E-1,-2.983956354E0,-4.948895486E-1
9.815350000E-1,1.330604965E0,-2.480630955E0,-1.344795281E-1
9.914670000E-1,1.343706675E0,-1.876194917E0,-6.378442504E-2
1.001400000E0,9.829581740E-1,-1.014858536E0,-1.603020018E-1
1.011333000E0,3.942197909E-1,-8.332867026E-3,-4.446825045E-1
1.021266000E0,-8.473947549E-2,9.149705511E-1,-6.693489752E-1
1.031198000E0,-7.977677912E-2,1.651040862E0,-7.359171865E-1
1.041131000E0,3.512133371E-1,2.391759124E0,-4.309211556E-1
1.051064000E0,8.713317575E-1,3.169907168E0,-3.164440021E-3
1.060997000E0,1.173470254E0,4.081747119E0,1.842042500E-1
1.070929000E0,1.023479817E0,4.876163871E0,-1.515094706E-1
1.080862000E0,6.755102594E-1,5.573662439E0,-6.852497473E-1
1.090795000E0,1.697465890E-1,6.131824781E0,-1.206326709E0
1.100728000E0,-5.410300004E-1,6.460335975E0,-1.318302131E0
1.110660000E0,-8.904610696E-1,6.814039897E0,-1.392342499E0
1.120593000E0,-7.578969432E-1,7.056744955E0,-8.226734215E-1
1.130526000E0,-7.126653680E-1,6.943199628E0,1.782939209E-1
1.140459000E0,-8.801709934E-1,6.365675985E0,1.354172460E0
1.150391000E0,-1.229434832E0,5.237472097E0,2.841254472E0
1.160324000E0,-1.159527276E0,3.910531874E0,3.631164190E0
1.170257000E0,-7.118936817E-1,2.556794447E0,3.738676944E0
1.180190000E0,1.096672522E-1,1.394177356E0,3.522504212E0
1.190122000E0,9.454886314E-1,3.949314702E-1,3.374291328E0
1.200055000E0,1.412314395E0,-4.467266911E-1,3.341772623E0
1.209988000E0,1.351204121E0,-1.161652885E0,3.180596462E0
1.219921000E0,6.230495522E-1,-1.601524301E0,2.752816504E0
1.229853000E0,-5.154218271E-1,-1.683703408E0,1.994444329E0
1.239786000E0,-1.800566884E0,-1.529542737E0,8.845340395E-1
1.249719000E0,-2.741892151E0,-1.071932039E0,-8.760415435E-2
1.259652000E0,-3.104850754E0,-4.777724826E-1,-5.732305440E-1
1.269584000E0,-2.828885564E0,7.475665212E-3,-5.757799665E-1
1.279517000E0,-2.049352461E0,3.111771226E-1,-4.643086839E-1
1.289450000E0,-1.078491226E0,5.013864630E-1,-3.481923366E-1
1.299383000E0,-1.464090540E-1,5.073705035E-1,-2.931676984E-2
1.309315000E0,6.507004503E-1,2.769837749E-1,4.402181554E-1
1.319248000E0,1.155518425E0,-1.532952833E-1,8.429240835E-1
1.329181000E0,1.426175659E0,-7.233695734E-1,1.199553952E0
1.339114000E0,1.509856624E0,-1.348687187E0,1.141508058E0
1.349046000E0,1.442035062E0,-2.047321869E0,9.103015494E-1
1.358979000E0,1.330367130E0,-2.701678510E0,4.606413102E-1
1.368912000E0,1.103116775E0,-3.302170016E0,-7.412926415E-2
1.378845000E0,7.241241565E-1,-3.851808872E0,-4.900972438E-1
1.388777000E0,3.118594196E-1,-4.305101987E0,-7.942740798E-1
1.398710000E0,5.111896307E-2,-4.663883631E0,-8.830389065E-1
1.408643000E0,3.045232653E-2,-4.994053679E0,-9.558911204E-1
1.418576000E0,2.623065875E-1,-5.182377293E0,-1.097915311E0
1.428508000E0,5.440660210E-1,-5.231837136E0,-1.082887382E0
1.438441000E0,7.748038749E-1,-5.175247782E0,-6.827074510E-1
1.448374000E0,8.979490871E-1,-4.949584435E0,-2.621926582E-1
1.458307000E0,1.081568762E0,-4.553025100E0,1.450573605E-2
1.468239000E0,1.070528561E0,-4.193107926E0,9.757248759E-3
1.478172000E0,7.725359593E-1,-3.819926344E0,-3.215641165E-1
1.488105000E0,3.020544612E-1,-3.388042810E0,-9.906229967E-1
1.498038000E0,-2.317180300E-1,-2.806876937E0,-2.045691081E0
1.507970000E0,-4.756075145E-1,-2.089568587E0,-2.973186368E0
1.517903000E0,-3.158344664E-1,-1.194408402E0,-3.259677715E0
1.527836000E0,1.532069904E-1,-2.015272111E-1,-2.955160571E0
1.537769000E0,5.470615130E-1,8.172045207E-1,-1.914787710E0
1.547701000E0,6.575253935E-1,1.805227845E0,-1.697458398E-1
1.557634000E0,3.447631638E-1,2.578464228E0,1.514160467E0
1.567567000E0,-4.076274199E-1,3.153831418E0,1.930640681E0
1.577500000E0,-1.118635431E0,3.828403053E0,6.063527548E-1
1.587432000E0,-1.630419194E0,4.345082324E0,-1.004852781E0
1.597365000E0,-1.915925432E0,4.931362756E0,-2.260928843E0
1.607298000E0,-1.685380974E0,5.771818730E0,-2.817381459E0
1.617231000E0,-8.611076816E-1,6.768684799E0,-2.213966931E0
1.627163000E0,8.050529650E-2,7.588450985E0,-1.013618853E0
1.637096000E0,9.102896357E-1,8.149155697E0,1.723806683E-1
1.647029000E0,1.511175025E0,8.370770432E0,1.227791911E0
1.656962000E0,1.677316495E0,8.214000149E0,2.277458922E0
1.666894000E0,1.330759332E0,7.575294750E0,3.309739237E0
1.676827000E0,5.667166361E-1,6.297045461E0,4.023063878E0
1.686760000E0,-1.990705217E-1,4.556631662E0,4.054803734E0
1.696693000E0,-2.245026390E-1,2.821674485E0,3.490857326E0
1.706625000E0,4.617616367E-1,1.254326575E0,2.668864521E0
1.716558000E0,1.454736384E0,-1.502629173E-1,2.021991146E0
1.726491000E0,2.554792652E0,-1.110348246E0,1.640426411E0
1.736424000E0,3.235887734E0,-1.830517053E0,1.349467206E0
1.746356000E0,3.620684225E0,-2.254230857E0,1.218454492E0
1.756289000E0,3.776912179E0,-2.512370226E0,9.250792176E-1
1.766222000E0,3.622071185E0,-2.465112444E0,5.676154993E-1
1.776155000E0,2.892764348E0,-2.321771461E0,5.226890391E-1
1.786087000E0,1.913119499E0,-2.214545805E0,7.980168825E-1
1.796020000E0,8.946282341E-1,-2.100111701E0,9.652987057E-1
1.805953000E0,-1.427230058E-1,-2.105933189E0,8.372986235E-1
1.815886000E0,-1.090548915E0,-2.202525099E0,3.344391737E-1
1.825818000E0,-1.864947798E0,-2.418196140E0,-2.884946036E-1
1.835751000E0,-2.518857712E0,-2.668891418E0,-6.182331276E-1
1.845684000E0,-2.752839016E0,-2.951038284E0,-7.405486929E-1
1.855617000E0,-2.108424980E0,-3.024667593E0,-9.358375096E-1
1.865549000E0,-9.468779299E-1,-2.967372481E0,-9.969777507E-1
1.875482000E0,1.610827878E-1,-3.035238774E0,-6.530170441E-1
1.885415000E0,1.121366154E0,-3.117215568E0,-1.951823974E-1
1.895348000E0,1.699023406E0,-3.201799636E0,8.102004334E-2
1.905280000E0,1.976133480E0,-3.306311599E0,2.778596878E-1
1.915213000E0,1.921116882E0,-3.406924054E0,2.134689796E-1
1.925146000E0,1.579036494E0,-3.382283887E0,-2.954295476E-1
1.935079000E0,1.028133397E0,-3.431877047E0,-7.499673879E-1
1.945011000E0,6.194687904E-1,-3.423589203E0,-1.150512185E0
1.954944542E0,7.512347719E-1,-3.222111694E0,-1.230677658E0
1.964877542E0,1.082473545E0,-2.840111926E0,-7.384292234E-1
1.974809542E0,1.072613532E0,-2.359968397E0,1.603248060E-2
