"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.739381134172472E9,"2025-02-12 19:25:34.172 UTC+02:00"
"PAUSE",2.824859117500018E2,1.739381416656889E9,"2025-02-12 19:30:16.657 UTC+02:00"
